source,target,weight
想不到明天的明天,嗨我来抓人了,0.13203907
羽禅台北,用户6420794537,0.1181293
羽禅台北,unhappygoose,0.12263972
羽禅台北,正宗糖丝儿,0.11630696
羽禅台北,Hell3rGoh螺,0.14558503
羽禅台北,夕丙搏洁,0.11795183
羽禅台北,空中飞舞的Jacky,0.11522568
羽禅台北,荞麦面和榴莲更配哦,0.12095471
羽禅台北,成长pgjm,0.19054877
羽禅台北,象巧欣,0.14534641
羽禅台北,忘鸟爱,0.11711124
羽禅台北,Typewriter猴_VoV,0.15014006
羽禅台北,係贝拉唔係备啦,0.11467004
羽禅台北,嗨我来抓人了,0.13915099
羽禅台北,冰阔落味嘴唇的美少女,0.11338169
莉柚薇甜,青二才小十,0.11042836
莉柚薇甜,用户6420794537,0.12274155
莉柚薇甜,stjkksbygkww,0.11156057
莉柚薇甜,卞卞1995,0.11227005
莉柚薇甜,unhappygoose,0.1281928
莉柚薇甜,正宗糖丝儿,0.11705117
莉柚薇甜,Hell3rGoh螺,0.14577245
莉柚薇甜,夕丙搏洁,0.12310667
莉柚薇甜,空中飞舞的Jacky,0.1151818
